-36 -53
-37 -54
-814 -1188
-360 -540
-216 -324
-180 -270
-144 -216
-105 -162
-70 -108
-68 -108
-68 -108
-34 -54
-34 -54
-34 -54
-33 -54
-32 -54
-33 -55
-32 -54
-32 -55
-32 -54
-31 -55
-2201 -3834
-450 -825
-240 -440
-150 -275
-120 -220
-90 -165
-87 -165
-56 -110
-56 -110
-56 -110
-27 -55
-27 -55
-26 -55
-25 -55
-25 -55
-24 -55
-24 -55
-24 -55
-23 -56
-23 -55
-616 -1540
-242 -616
-154 -385
-105 -275
-84 -224
-60 -165
-40 -110
-38 -112
-38 -112
-36 -110
-18 -55
-17 -56
-17 -55
-16 -56
-16 -55
-15 -56
-14 -56
-13 -56
-13 -56
-3000 -14000
-187 -952
-99 -504
-66 -336
-40 -224
-30 -168
-27 -168
-16 -112
-16 -112
-14 -112
-6 -56
-6 -56
-5 -56
-5 -56
-4 -57
-3 -56
-2 -57
-1 -57
-1 -56
-1 -56
0 -2240
0 -728
0 -392
0 -280
0 -224
0 -171
0 -168
0 -114
0 -114
0 -114
0 -56
0 -56
0 -56
0 -56
0 -56
0 -56
0 -57
0 -57
0 -56
0 -57
0 -1232
0 -560
0 -342
0 -285
0 -228
0 -171
-104 -92
-112 -74
-112 -56
-56 -20
-56 -13
-57 -8
-57 -4
-56 -1
-57 0
-56 0
-57 0
-57 0
-56 -1
-3976 0
-840 0
-456 0
-280 0
-224 0
-168 0
-168 0
-114 0
-114 0
-114 0
-56 0
-56 -1
-56 0
-56 0
-56 0
-56 -1
-56 -1
-57 -1
-56 -2
-56 -3
-1624 -58
-627 -33
-392 -28
-280 -20
-224 -16
-168 -15
-112 -12
-112 -12
-112 -14
-112 -16
-56 -8
-56 -9
-55 -9
-56 -10
-56 -10
-55 -11
-56 -11
-56 -12
-56 -12
-18648 -3996
-990 -234
-495 -126
-336 -84
-220 -60
-16552 -45
-165 -48
-110 -32
-110 -34
-112 -36
-55 -18
-55 -19
-55 -20
-55 -19
-55 -20
-55 -21
-55 -22
-55 -22
-56 -22
-55 -22
-2255 -943
-715 -312
-385 -168
-270 -120
-220 -96
-165 -78
-165 -75
-110 -52
-108 -52
-110 -54
-55 -27
-55 -27
-55 -28
-55 -28
-54 -28
-55 -29
-55 -29
-55 -29
-54 -30
-54 -30
-1188 -682
-550 -310
-324 -186
-275 -155
-216 -124
-162 -96
32658 -66
-108 -64
-108 -66
-54 -33
