-51194900039.062500: -6865 -6864
-20321300039.062500: 6455 6455
10344940312.500000: 3448 3449
41725419960.937500: 445 445
73566699960.937500: -2557 -2557
105983980312.500000: -5559 -5559
139622379960.937500: 7767 7767
173122540312.500000: 4767 4768
-170242580039.062500: 1769 1769
-135590420039.062500: -1227 -1227
-99648019687.500000: -4279 -4278
-63129620039.062500: -7329 -7329
-26058259687.500000: 6005 6005
10690540312.500000: 3014 3015
47946219960.937500: 24 24
85524459960.937500: -2966 -2966
123563500312.500000: -5954 -5953
162915820312.500000: 7386 7386
-175403540039.062500: 4401 4401
-135774740039.062500: 1417 1417
-95592980039.062500: -1566 -1566
-54282260039.062500: -4604 -4604
-12280339687.500000: -7640 -7639
29491180312.500000: 5708 5708
71055340312.500000: 2732 2732
113264620312.500000: -241 -240
155404780312.500000: -3217 -3216
-178606099687.500000: -6246 -6246
-134853139687.500000: 7111 7111
-91560979687.500000: 4142 4142
-47969299687.500000: 1173 1174
-4055059687.500000: -1793 -1792
40227820664.062500: -4758 -4757
85063660312.500000: -7722 -7721
130314220312.500000: 5699 5699
175887340312.500000: 2737 2737
-155658259687.500000: -224 -224
-109393939335.937500: -3183 -3182
-62046739687.500000: -6197 -6197
-14561299687.500000: 7174 7175
32371180312.500000: 4221 4221
79534060312.500000: 1269 1269
126996460312.500000: -1682 -1682
175726060312.500000: -4687 -4687
-152640019687.500000: -7691 -7691
-103265299335.937500: 5689 5689
-54420499687.500000: 2742 2742
-5299219687.500000: -202 -202
44121580664.062500: -3147 -3146
93980140664.062500: -6088 -6088
144184300664.062500: 7353 7354
-182730259687.500000: 4413 4413
-131950099687.500000: 1473 1473
-81008659335.937500: -1464 -1463
-28800019687.500000: -4455 -4455
23639020312.500000: -7445 -7445
75363820664.062500: 6003 6004
127365100312.500000: 3069 3069
179550700664.062500: 137 137
-145566739687.500000: -2792 -2792
-92160019687.500000: -5775 -5775
-38661139687.500000: 7626 7626
14031340664.062500: 4700 4700
67000300664.062500: 1775 1775
120245740664.062500: -1148 -1148
174781420664.062500: -4124 -4124
-147985939687.500000: -7100 -7100
-93058579687.500000: 6309 6309
-38960659335.937500: 3390 3390
15321580664.062500: 473 473
69811180664.062500: -2441 -2440
124392940664.062500: -5354 -5354
180103660664.062500: 8061 8062
-142456339335.937500: 5150 5150
-87275539335.937500: 2241 2241
-31979539335.937500: -665 -664
23500780664.062500: -3571 -3571
79188460664.062500: -6477 -6477
135060460664.062500: 7002 7002
-186393618984.375000: 4101 4102
-130268179335.937500: 1201 1201
-73958418984.375000: -1697 -1696
-16404498984.375000: -4648 -4647
41333740664.062500: -7597 -7597
98104300664.062500: 5892 5892
155013101015.625000: 2999 2999
-165381139335.937500: 110 110
-108149778984.375000: -2778 -2777
-49605138984.375000: -5720 -5720
9054700664.062500: 7722 7722
66746861015.625000: 4838 4838
124577261015.625000: 1954 1954
182453741015.625000: -923 -923
-136995858984.375000: -3801 -3801
-77783059335.937500: -6734 -6734
-18432018984.375000: 6721 6721
39928301015.625000: 3846 3846
98472941015.625000: 974 974
157132781015.625000: -1895 -1895
-160404498984.375000: -4820 -4820
-100339218984.375000: -7740 -7740
-40158738984.375000: 5722 5722
